0.000000000000000000e+00,5.090000000000000080e-01
5.000000000000000000e+00,6.870000000000000551e-01
1.000000000000000000e+01,8.319999999999999618e-01
1.500000000000000000e+01,1.040000000000000036e+00
2.000000000000000000e+01,1.120000000000000107e+00
2.500000000000000000e+01,1.270000000000000018e+00
3.000000000000000000e+01,1.399999999999999911e+00
3.500000000000000000e+01,1.520000000000000018e+00
4.000000000000000000e+01,1.570000000000000062e+00
4.500000000000000000e+01,1.659999999999999920e+00
5.000000000000000000e+01,1.719999999999999973e+00
5.500000000000000000e+01,1.750000000000000000e+00
6.000000000000000000e+01,1.750000000000000000e+00
6.500000000000000000e+01,1.709999999999999964e+00
7.000000000000000000e+01,1.620000000000000107e+00
7.500000000000000000e+01,1.560000000000000053e+00
8.000000000000000000e+01,1.419999999999999929e+00
8.500000000000000000e+01,1.290000000000000036e+00
9.000000000000000000e+01,1.139999999999999902e+00
9.500000000000000000e+01,1.020000000000000018e+00
1.000000000000000000e+02,8.830000000000000071e-01
1.050000000000000000e+02,7.189999999999999725e-01
1.100000000000000000e+02,5.410000000000000364e-01
1.150000000000000000e+02,4.319999999999999951e-01
1.200000000000000000e+02,2.770000000000000240e-01
1.250000000000000000e+02,2.119999999999999940e-01
1.300000000000000000e+02,1.189999999999999947e-01
1.350000000000000000e+02,1.100000000000000006e-01
1.400000000000000000e+02,2.800000000000000058e-02
1.450000000000000000e+02,3.839999999999999664e-02
1.500000000000000000e+02,6.819999999999999674e-02
1.550000000000000000e+02,7.180000000000000271e-02
1.600000000000000000e+02,2.109999999999999931e-01
1.650000000000000000e+02,2.849999999999999756e-01
1.700000000000000000e+02,3.529999999999999805e-01
1.750000000000000000e+02,5.370000000000000329e-01
